Reply,Intent,Initial_Message
I'll forward your email to the right contact internally.,WRONG_PERSON,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Can you walk me through how integrations work?,INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Our company doesn't use workflow tools like this.,NOT_INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Thanks but we're not expanding tech stack this year.,NOT_INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
I'm not the right person to contact for this — try reaching out to our IT manager.,WRONG_PERSON,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Can it automate approvals across multiple systems?,NEEDS_CLARIFICATION,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
"Not relevant to our operations, but appreciate you reaching out.",NOT_INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
We're satisfied with our in-house automation tools.,NOT_INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
You may want to contact our IT procurement department.,WRONG_PERSON,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
What support options do you provide after setup?,NEEDS_CLARIFICATION,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Can you send pricing details?,INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
"We're exploring automation tools, would love to learn more.",INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Can you clarify if this works with Google Workspace?,NEEDS_CLARIFICATION,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
"You've reached HR, not IT.",WRONG_PERSON,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
We don't have the budget for new tools right now.,NOT_INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
I'd like to try a pilot version if possible.,INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
We're under contract with another provider.,NOT_INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
This should go to our technical operations team.,WRONG_PERSON,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
What's the pricing model — per user or per team?,NEEDS_CLARIFICATION,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Our management isn't considering new vendors right now.,NOT_INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
"I'm not involved in software decisions, please contact our CTO.",WRONG_PERSON,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
You might want to speak with our operations director instead.,WRONG_PERSON,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
We've evaluated similar solutions and decided not to move forward.,NOT_INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
How customizable is the automation process?,NEEDS_CLARIFICATION,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Do you offer integrations with CRM tools like HubSpot?,NEEDS_CLARIFICATION,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
We have an internal solution already.,NOT_INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
"I don't make purchasing decisions, try contacting our finance lead.",WRONG_PERSON,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
What's the learning curve for new users?,NEEDS_CLARIFICATION,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Please remove me from your mailing list.,NOT_INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
"I'll pass, thanks anyway.",NOT_INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Not something we plan to invest in.,NOT_INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Is there a mobile app version available?,NEEDS_CLARIFICATION,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
"Yes, I'm interested — please share pricing details.",INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Does it require any coding knowledge to use?,NEEDS_CLARIFICATION,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
"Thanks, but we're not looking for automation tools right now.",NOT_INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
"I've shared this with my team, let's talk soon.",INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
"Not my responsibility area, but thanks for sharing.",WRONG_PERSON,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Sounds great! Can we schedule a quick demo?,INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
"Sounds useful, can you show how it fits into our stack?",INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
This could be a great fit — let's chat.,INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
You've reached the wrong person — I don't manage automation tools.,WRONG_PERSON,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
I'm not the best contact — try marketing ops.,WRONG_PERSON,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Please send a link to your calendar for a meeting.,INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
